enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,training_hours,target,training_hours_range
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19.0,L,Pvt Ltd,141.0,0.0,101-200
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5.0,,,24.0,0.0,0-50
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Pvt Ltd,82.0,0.0,51-100
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12.0,L,Pvt Ltd,145.0,0.0,101-200
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,S,Early Stage Startup,,0.0,
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,,1.0,L,Other,152.0,0.0,101-200
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,20.0,M,Pvt Ltd,42.0,1.0,0-50
8612,city_103,0.92,Not specified,No relevent experience,no_enrollment,Graduate,STEM,12.0,,,50.0,0.0,0-50
24659,city_71,0.884,Male,No relevent experience,no_enrollment,,,3.0,,,106.0,0.0,101-200
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16.0,M,Public Sector,14.0,0.0,0-50
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,4.0,S,Pvt Ltd,36.0,0.0,0-50
31654,city_21,0.624,Not specified,Has relevent experience,no_enrollment,Masters,STEM,6.0,S,Early Stage Startup,112.0,1.0,101-200
13643,city_64,0.6659999999999999,Not specified,No relevent experience,no_enrollment,Graduate,No Major,9.0,S,Pvt Ltd,108.0,0.0,101-200
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9.0,L,Pvt Ltd,7.0,1.0,0-50
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5.0,,,26.0,1.0,0-50
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,M,Pvt Ltd,87.0,1.0,51-100
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19.0,L,Public Sector,52.0,1.0,51-100
4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15.0,,,20.0,1.0,0-50
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11.0,S,Pvt Ltd,21.0,0.0,0-50
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4.0,,,92.0,1.0,51-100
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,M,Pvt Ltd,102.0,0.0,101-200
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5.0,L,Pvt Ltd,26.0,0.0,0-50
28512,city_104,0.924,Not specified,Has relevent experience,no_enrollment,Masters,STEM,3.0,S,Early Stage Startup,7.0,0.0,0-50
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,,4.0,L,Pvt Ltd,43.0,0.0,0-50
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Pvt Ltd,,0.0,
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,S,Early Stage Startup,52.0,0.0,51-100
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,19.0,0.0,0-50
13478,city_21,0.624,Not specified,Has relevent experience,Full time course,Graduate,STEM,2.0,S,Funded Startup,32.0,1.0,0-50
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,20.0,M,Pvt Ltd,,1.0,
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,,,90.0,0.0,51-100
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,M,Pvt Ltd,25.0,0.0,0-50
24690,city_41,0.8270000000000001,Not specified,Has relevent experience,,Masters,STEM,13.0,S,,15.0,0.0,0-50
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,20.0,M,Pvt Ltd,48.0,0.0,0-50
9572,city_11,0.55,Not specified,No relevent experience,Full time course,High School,,3.0,,,98.0,0.0,51-100
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,S,Pvt Ltd,,1.0,
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4.0,L,Pvt Ltd,13.0,0.0,0-50
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,,,47.0,0.0,0-50
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14.0,M,Public Sector,28.0,0.0,0-50
4830,city_90,0.698,Not specified,No relevent experience,,,,2.0,,Pvt Ltd,228.0,1.0,201-350
20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,22.0,0.0,0-50
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0.0,,,18.0,1.0,0-50
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,S,Pvt Ltd,29.0,0.0,0-50
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,M,,46.0,0.0,0-50
29117,city_11,0.55,Not specified,No relevent experience,Full time course,Graduate,STEM,0.0,,,,0.0,
3686,city_103,0.92,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,5.0,M,Pvt Ltd,17.0,0.0,0-50
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,S,Pvt Ltd,65.0,0.0,51-100
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3.0,M,Pvt Ltd,35.0,0.0,0-50
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9.0,L,Pvt Ltd,14.0,0.0,0-50
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2.0,S,Early Stage Startup,4.0,0.0,0-50
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,S,Pvt Ltd,12.0,0.0,0-50
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,S,Pvt Ltd,108.0,0.0,101-200
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,20.0,,,136.0,0.0,101-200
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,S,,27.0,0.0,0-50
5902,city_20,0.7959999999999999,Not specified,Has relevent experience,Part time course,Masters,STEM,4.0,S,Funded Startup,74.0,0.0,51-100
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,S,Early Stage Startup,86.0,0.0,51-100
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0.0,S,Pvt Ltd,83.0,0.0,51-100
28751,city_103,0.92,Not specified,No relevent experience,Full time course,High School,,4.0,,,75.0,0.0,51-100
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11.0,,Public Sector,42.0,0.0,0-50
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,M,,332.0,0.0,201-350
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4.0,,,140.0,0.0,101-200
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3.0,,,182.0,0.0,101-200
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3.0,M,Pvt Ltd,13.0,1.0,0-50
10497,city_19,0.682,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,5.0,S,Pvt Ltd,172.0,1.0,101-200
18099,city_103,0.92,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,10.0,M,NGO,48.0,0.0,0-50
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9.0,S,Pvt Ltd,33.0,0.0,0-50
7364,city_160,0.92,Not specified,No relevent experience,Full time course,High School,,2.0,M,Pvt Ltd,142.0,0.0,101-200
11184,city_74,0.579,Not specified,No relevent experience,Full time course,Graduate,STEM,2.0,M,Pvt Ltd,34.0,0.0,0-50
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,S,Pvt Ltd,14.0,1.0,0-50
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,S,Pvt Ltd,,1.0,
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,M,Pvt Ltd,24.0,1.0,0-50
14672,city_173,0.878,Not specified,No relevent experience,no_enrollment,Masters,STEM,20.0,,,150.0,0.0,101-200
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,M,NGO,20.0,0.0,0-50
24493,city_103,0.92,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,5.0,M,,,0.0,
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,L,Pvt Ltd,52.0,0.0,51-100
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,S,Pvt Ltd,160.0,0.0,101-200
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9.0,L,Pvt Ltd,3.0,0.0,0-50
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,S,Pvt Ltd,2.0,1.0,0-50
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Pvt Ltd,28.0,0.0,0-50
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,20.0,,,46.0,0.0,0-50
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,S,Pvt Ltd,210.0,0.0,201-350
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,S,Pvt Ltd,36.0,0.0,0-50
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4.0,,,160.0,1.0,101-200
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,S,NGO,101.0,0.0,101-200
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6.0,S,,46.0,0.0,0-50
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Pvt Ltd,19.0,0.0,0-50
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3.0,M,Pvt Ltd,26.0,1.0,0-50
21199,city_90,0.698,Not specified,Has relevent experience,Full time course,Graduate,STEM,7.0,S,NGO,90.0,0.0,51-100
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9.0,S,Pvt Ltd,59.0,0.0,51-100
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10.0,S,Funded Startup,260.0,0.0,201-350
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,S,Pvt Ltd,74.0,0.0,51-100
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,20.0,M,Pvt Ltd,20.0,1.0,0-50
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,M,Pvt Ltd,8.0,0.0,0-50
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,M,Pvt Ltd,131.0,0.0,101-200
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7.0,,,45.0,0.0,0-50
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11.0,S,Pvt Ltd,109.0,0.0,101-200
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3.0,M,Pvt Ltd,,0.0,
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,NGO,17.0,0.0,0-50
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15.0,S,Pvt Ltd,51.0,0.0,51-100
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,S,Pvt Ltd,60.0,1.0,51-100
3921,city_36,0.893,Not specified,No relevent experience,no_enrollment,Phd,STEM,20.0,M,Public Sector,4.0,0.0,0-50
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12.0,M,Pvt Ltd,7.0,0.0,0-50
1924,city_102,0.804,Not specified,Has relevent experience,no_enrollment,Masters,STEM,20.0,M,Pvt Ltd,164.0,0.0,101-200
32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,290.0,0.0,201-350
1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,,2.0,S,NGO,145.0,0.0,101-200
23947,city_103,0.92,Not specified,No relevent experience,no_enrollment,Phd,STEM,,,,70.0,0.0,51-100
3116,city_21,0.624,Male,No relevent experience,no_enrollment,,,3.0,,,24.0,0.0,0-50
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3.0,L,Pvt Ltd,133.0,1.0,101-200
30488,city_11,0.55,Not specified,No relevent experience,Full time course,Graduate,STEM,2.0,,,20.0,0.0,0-50
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,S,Funded Startup,76.0,0.0,51-100
22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5.0,,,21.0,1.0,0-50
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8.0,L,Pvt Ltd,34.0,0.0,0-50
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9.0,S,Pvt Ltd,15.0,0.0,0-50
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,20.0,,,156.0,0.0,101-200
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,L,Pvt Ltd,15.0,0.0,0-50
7777,city_114,0.926,Not specified,Has relevent experience,no_enrollment,Masters,STEM,20.0,,,120.0,0.0,101-200
22718,city_157,0.769,Not specified,Has relevent experience,no_enrollment,Graduate,No Major,14.0,L,,47.0,0.0,0-50
1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,,,100.0,1.0,51-100
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,M,Pvt Ltd,102.0,0.0,101-200
4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4.0,,,,0.0,
18998,city_114,0.926,Not specified,Has relevent experience,no_enrollment,High School,,9.0,S,,39.0,0.0,0-50
2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,,4.0,,,112.0,1.0,101-200
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,20.0,S,Pvt Ltd,14.0,0.0,0-50
8241,city_16,0.91,Not specified,Has relevent experience,no_enrollment,,,11.0,,,,0.0,
12154,city_16,0.91,Not specified,Has relevent experience,no_enrollment,Masters,Arts,20.0,M,NGO,55.0,0.0,51-100
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,L,Pvt Ltd,49.0,1.0,0-50
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,,,72.0,0.0,51-100
28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14.0,L,Pvt Ltd,141.0,1.0,101-200
4656,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,6.0,,Pvt Ltd,28.0,0.0,0-50
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,L,Pvt Ltd,6.0,0.0,0-50
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17.0,L,Pvt Ltd,125.0,0.0,101-200
13333,city_75,0.939,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,326.0,0.0,201-350
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,20.0,M,Pvt Ltd,33.0,0.0,0-50
12381,city_102,0.804,Not specified,No relevent experience,no_enrollment,Masters,STEM,6.0,L,Pvt Ltd,40.0,0.0,0-50
4064,city_160,0.92,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,18.0,,,198.0,1.0,101-200
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15.0,L,Pvt Ltd,55.0,0.0,51-100
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,20.0,M,Pvt Ltd,32.0,0.0,0-50
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,20.0,M,Pvt Ltd,11.0,0.0,0-50
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,S,Pvt Ltd,41.0,0.0,0-50
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,L,Public Sector,,1.0,
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10.0,M,Pvt Ltd,114.0,0.0,101-200
12384,city_70,0.698,Not specified,Has relevent experience,,,,20.0,,,33.0,0.0,0-50
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5.0,S,Early Stage Startup,15.0,0.0,0-50
31033,city_16,0.91,Not specified,No relevent experience,Full time course,High School,,3.0,,,8.0,0.0,0-50
14835,city_173,0.878,Female,Has relevent experience,Part time course,High School,,2.0,M,NGO,22.0,0.0,0-50
3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,L,Pvt Ltd,13.0,0.0,0-50
3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,S,Public Sector,246.0,0.0,201-350
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9.0,S,Pvt Ltd,22.0,0.0,0-50
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,S,Funded Startup,81.0,0.0,51-100
12297,city_175,0.7759999999999999,Not specified,Has relevent experience,Full time course,Graduate,STEM,4.0,S,Funded Startup,11.0,0.0,0-50
27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5.0,L,,24.0,1.0,0-50
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Funded Startup,50.0,0.0,0-50
29226,city_104,0.924,Male,No relevent experience,Full time course,High School,,6.0,,,15.0,0.0,0-50
5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,S,Pvt Ltd,31.0,0.0,0-50
2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,S,Pvt Ltd,84.0,0.0,51-100
32509,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4.0,L,Pvt Ltd,42.0,0.0,0-50
31841,city_21,0.624,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,10.0,S,Pvt Ltd,105.0,1.0,101-200
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,20.0,S,Pvt Ltd,72.0,0.0,51-100
29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14.0,S,Pvt Ltd,42.0,1.0,0-50
10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,S,Early Stage Startup,152.0,0.0,101-200
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,L,Pvt Ltd,60.0,0.0,51-100
26163,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2.0,,,8.0,0.0,0-50
4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13.0,,,17.0,1.0,0-50
7335,city_83,0.923,Male,No relevent experience,no_enrollment,High School,,1.0,,,33.0,0.0,0-50
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4.0,M,Funded Startup,38.0,0.0,0-50
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14.0,S,Early Stage Startup,178.0,0.0,101-200
32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,S,Pvt Ltd,11.0,0.0,0-50
27104,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,,20.0,,,87.0,0.0,51-100
7731,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,,,84.0,0.0,51-100
31943,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,M,Early Stage Startup,32.0,0.0,0-50
22899,city_100,0.887,Not specified,Has relevent experience,no_enrollment,Masters,STEM,9.0,M,Pvt Ltd,31.0,1.0,0-50
33339,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2.0,M,Public Sector,39.0,0.0,0-50
20866,city_59,0.775,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,7.0,S,Pvt Ltd,12.0,0.0,0-50
21634,city_21,0.624,Not specified,Has relevent experience,Full time course,Graduate,STEM,5.0,L,Pvt Ltd,50.0,0.0,0-50
29529,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3.0,M,Pvt Ltd,55.0,1.0,51-100
4478,city_11,0.55,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,5.0,S,Pvt Ltd,7.0,1.0,0-50
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2.0,S,Early Stage Startup,104.0,0.0,101-200
18272,city_160,0.92,Not specified,Has relevent experience,Full time course,Graduate,Business Degree,20.0,,,90.0,1.0,51-100
30098,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,20.0,M,Pvt Ltd,8.0,0.0,0-50
23825,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2.0,,,102.0,0.0,101-200
7672,city_21,0.624,Not specified,Has relevent experience,no_enrollment,Masters,STEM,0.0,S,Pvt Ltd,202.0,1.0,201-350
5633,city_145,0.555,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,4.0,M,Pvt Ltd,22.0,0.0,0-50
30695,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3.0,,Pvt Ltd,42.0,0.0,0-50
5573,city_160,0.92,Not specified,No relevent experience,no_enrollment,Primary School,,4.0,,Pvt Ltd,50.0,0.0,0-50
24936,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3.0,S,Funded Startup,88.0,0.0,51-100
397,city_73,0.754,Not specified,Has relevent experience,no_enrollment,Graduate,STEM,5.0,M,Pvt Ltd,81.0,0.0,51-100
31602,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,L,Pvt Ltd,7.0,0.0,0-50
5278,city_21,0.624,Male,No relevent experience,no_enrollment,,,3.0,,Pvt Ltd,218.0,0.0,201-350
16814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,L,Pvt Ltd,62.0,0.0,51-100
19249,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,S,Pvt Ltd,83.0,0.0,51-100
9475,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9.0,M,Pvt Ltd,11.0,0.0,0-50
4865,city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,20.0,S,,10.0,0.0,0-50
20881,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10.0,M,Pvt Ltd,114.0,0.0,101-200
21563,city_21,0.624,Not specified,Has relevent experience,no_enrollment,Masters,STEM,3.0,S,Pvt Ltd,36.0,0.0,0-50
25114,city_102,0.804,Not specified,No relevent experience,,Masters,STEM,6.0,S,Pvt Ltd,17.0,0.0,0-50
26002,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2.0,,,80.0,1.0,51-100
8528,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,20.0,S,Public Sector,108.0,0.0,101-200
6141,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,M,Pvt Ltd,45.0,0.0,0-50
